 &plot nbnd=  13, nks=    81 /
            0.500000  0.500000  0.500000
   -8.141   -8.043   -8.043   -7.979   -7.979   -4.244    0.078    5.581    5.581    7.721
   11.359   11.359   14.540
            0.475000  0.475000  0.475000
   -8.141   -8.043   -8.043   -7.979   -7.979   -4.263    0.111    5.586    5.586    7.726
   11.362   11.362   14.542
            0.450000  0.450000  0.450000
   -8.139   -8.043   -8.043   -7.980   -7.980   -4.317    0.209    5.601    5.601    7.741
   11.370   11.370   14.545
            0.425000  0.425000  0.425000
   -8.137   -8.043   -8.043   -7.980   -7.980   -4.401    0.366    5.626    5.626    7.767
   11.383   11.383   14.540
            0.400000  0.400000  0.400000
   -8.134   -8.044   -8.044   -7.980   -7.980   -4.509    0.576    5.660    5.660    7.802
   11.397   11.397   14.507
            0.375000  0.375000  0.375000
   -8.131   -8.045   -8.045   -7.981   -7.981   -4.633    0.831    5.703    5.703    7.846
   11.411   11.411   14.406
            0.350000  0.350000  0.350000
   -8.127   -8.045   -8.045   -7.981   -7.981   -4.768    1.125    5.756    5.756    7.899
   11.421   11.421   14.198
            0.325000  0.325000  0.325000
   -8.122   -8.047   -8.047   -7.982   -7.982   -4.908    1.451    5.817    5.817    7.961
   11.421   11.421   13.885
            0.300000  0.300000  0.300000
   -8.117   -8.048   -8.048   -7.983   -7.983   -5.048    1.806    5.886    5.886    8.029
   11.408   11.408   13.509
            0.275000  0.275000  0.275000
   -8.111   -8.049   -8.049   -7.983   -7.983   -5.185    2.183    5.962    5.962    8.101
   11.377   11.377   13.106
            0.250000  0.250000  0.250000
   -8.105   -8.051   -8.051   -7.983   -7.983   -5.316    2.581    6.045    6.045    8.176
   11.324   11.324   12.696
            0.225000  0.225000  0.225000
   -8.099   -8.052   -8.052   -7.984   -7.984   -5.439    2.995    6.132    6.132    8.248
   11.249   11.249   12.290
            0.200000  0.200000  0.200000
   -8.092   -8.054   -8.054   -7.984   -7.984   -5.553    3.423    6.222    6.222    8.310
   11.154   11.154   11.898
            0.175000  0.175000  0.175000
   -8.086   -8.055   -8.055   -7.984   -7.984   -5.656    3.862    6.313    6.313    8.354
   11.042   11.042   11.531
            0.150000  0.150000  0.150000
   -8.081   -8.057   -8.057   -7.984   -7.984   -5.747    4.309    6.403    6.403    8.364
   10.923   10.923   11.201
            0.125000  0.125000  0.125000
   -8.075   -8.058   -8.058   -7.984   -7.984   -5.825    4.760    6.488    6.488    8.322
   10.802   10.802   10.923
            0.100000  0.100000  0.100000
   -8.071   -8.060   -8.060   -7.984   -7.984   -5.890    5.213    6.566    6.566    8.210
   10.688   10.688   10.712
            0.075000  0.075000  0.075000
   -8.067   -8.061   -8.061   -7.984   -7.984   -5.942    5.660    6.632    6.632    8.018
   10.572   10.590   10.590
            0.050000  0.050000  0.050000
   -8.064   -8.061   -8.061   -7.984   -7.984   -5.978    6.095    6.683    6.683    7.755
   10.494   10.514   10.514
            0.025000  0.025000  0.025000
   -8.062   -8.062   -8.062   -7.984   -7.984   -6.001    6.495    6.715    6.715    7.452
   10.459   10.466   10.466
            0.000000  0.000000  0.000000
   -8.062   -8.062   -8.062   -7.984   -7.984   -6.008    6.726    6.726    6.726    7.252
   10.450   10.450   10.450
            0.000000  0.050000  0.000000
   -8.063   -8.062   -8.062   -7.984   -7.984   -5.998    6.465    6.692    6.692    7.511
   10.413   10.496   10.496
            0.000000  0.100000  0.000000
   -8.066   -8.061   -8.061   -7.984   -7.984   -5.968    6.046    6.595    6.595    7.924
   10.309   10.630   10.630
            0.000000  0.150000  0.000000
   -8.070   -8.059   -8.059   -7.985   -7.983   -5.919    5.609    6.448    6.448    8.344
   10.157   10.839   10.839
            0.000000  0.200000  0.000000
   -8.076   -8.057   -8.057   -7.986   -7.983   -5.851    5.170    6.267    6.267    8.745
    9.981   11.106   11.106
            0.000000  0.250000  0.000000
   -8.083   -8.055   -8.055   -7.987   -7.982   -5.765    4.733    6.064    6.064    9.091
    9.816   11.419   11.419
            0.000000  0.300000  0.000000
   -8.091   -8.052   -8.052   -7.988   -7.981   -5.660    4.301    5.852    5.852    9.273
    9.764   11.766   11.766
            0.000000  0.350000  0.000000
   -8.099   -8.049   -8.049   -7.990   -7.980   -5.538    3.873    5.637    5.637    9.197
    9.900   12.138   12.138
            0.000000  0.400000  0.000000
   -8.108   -8.045   -8.045   -7.992   -7.979   -5.400    3.452    5.426    5.426    9.033
   10.033   12.530   12.530
            0.000000  0.450000  0.000000
   -8.117   -8.042   -8.042   -7.993   -7.978   -5.247    3.037    5.222    5.222    8.861
   10.069   12.936   12.936
            0.000000  0.500000  0.000000
   -8.125   -8.038   -8.038   -7.996   -7.977   -5.080    2.631    5.030    5.030    8.698
   10.000   13.352   13.352
            0.000000  0.550000  0.000000
   -8.134   -8.034   -8.034   -7.998   -7.976   -4.901    2.235    4.850    4.850    8.552
    9.852   13.777   13.777
            0.000000  0.600000  0.000000
   -8.141   -8.030   -8.030   -8.000   -7.975   -4.712    1.851    4.687    4.687    8.425
    9.656   14.207   14.207
            0.000000  0.650000  0.000000
   -8.148   -8.026   -8.026   -8.002   -7.974   -4.516    1.482    4.539    4.539    8.319
    9.441   14.640   14.640
            0.000000  0.700000  0.000000
   -8.155   -8.023   -8.023   -8.003   -7.973   -4.317    1.132    4.410    4.410    8.236
    9.223   15.071   15.071
            0.000000  0.750000  0.000000
   -8.160   -8.020   -8.020   -8.005   -7.972   -4.120    0.807    4.299    4.299    8.176
    9.016   15.497   15.497
            0.000000  0.800000  0.000000
   -8.165   -8.017   -8.017   -8.007   -7.971   -3.932    0.513    4.207    4.207    8.140
    8.826   15.908   15.908
            0.000000  0.850000  0.000000
   -8.168   -8.015   -8.015   -8.008   -7.970   -3.763    0.262    4.135    4.135    8.127
    8.658   16.290   16.290
            0.000000  0.900000  0.000000
   -8.171   -8.014   -8.014   -8.009   -7.970   -3.626    0.067    4.084    4.084    8.137
    8.518   16.618   16.618
            0.000000  0.950000  0.000000
   -8.172   -8.013   -8.013   -8.009   -7.970   -3.536   -0.059    4.053    4.053    8.163
    8.413   16.850   16.850
            0.000000  1.000000  0.000000
   -8.173   -8.012   -8.012   -8.009   -7.970   -3.504   -0.102    4.043    4.043    8.182
    8.368   16.935   16.935
            0.000000  0.987500  0.037500
   -8.173   -8.013   -8.013   -8.009   -7.970   -3.506   -0.097    4.029    4.031    8.209
    8.400   16.860   16.879
            0.000000  0.975000  0.075000
   -8.172   -8.013   -8.013   -8.008   -7.970   -3.509   -0.083    3.988    4.000    8.289
    8.494   16.619   16.743
            0.000000  0.962500  0.112500
   -8.171   -8.015   -8.014   -8.007   -7.970   -3.515   -0.059    3.924    3.954    8.420
    8.643   16.236   16.555
            0.000000  0.950000  0.150000
   -8.170   -8.016   -8.015   -8.006   -7.971   -3.522   -0.028    3.839    3.899    8.600
    8.839   15.762   16.331
            0.000000  0.937500  0.187500
   -8.168   -8.018   -8.015   -8.004   -7.972   -3.531    0.008    3.741    3.843    8.824
    9.077   15.237   16.078
            0.000000  0.925000  0.225000
   -8.167   -8.020   -8.016   -8.003   -7.973   -3.540    0.047    3.634    3.792    9.086
    9.348   14.689   15.803
            0.000000  0.912500  0.262500
   -8.165   -8.023   -8.017   -8.001   -7.974   -3.550    0.086    3.522    3.753    9.381
    9.647   14.132   15.513
            0.000000  0.900000  0.300000
   -8.163   -8.025   -8.017   -7.999   -7.975   -3.560    0.123    3.410    3.730    9.704
    9.967   13.578   15.213
            0.000000  0.887500  0.337500
   -8.161   -8.027   -8.018   -7.998   -7.976   -3.568    0.155    3.302    3.727   10.049
   10.301   13.039   14.909
            0.000000  0.875000  0.375000
   -8.160   -8.029   -8.018   -7.996   -7.977   -3.576    0.180    3.200    3.748   10.405
   10.641   12.531   14.607
            0.000000  0.862500  0.412500
   -8.158   -8.031   -8.019   -7.995   -7.978   -3.582    0.197    3.107    3.792   10.734
   10.976   12.097   14.316
            0.000000  0.850000  0.450000
   -8.157   -8.032   -8.019   -7.994   -7.979   -3.586    0.206    3.024    3.858   10.862
   11.327   11.879   14.044
            0.000000  0.837500  0.487500
   -8.157   -8.033   -8.019   -7.993   -7.979   -3.589    0.206    2.953    3.945   10.633
   11.712   11.998   13.813
            0.000000  0.825000  0.525000
   -8.157   -8.033   -8.020   -7.993   -7.979   -3.589    0.198    2.896    4.047   10.258
   12.054   12.282   13.662
            0.000000  0.812500  0.562500
   -8.157   -8.032   -8.020   -7.993   -7.979   -3.586    0.185    2.852    4.157    9.869
   12.203   12.683   13.654
            0.000000  0.800000  0.600000
   -8.158   -8.031   -8.020   -7.994   -7.979   -3.581    0.167    2.822    4.268    9.507
   12.164   13.134   13.810
            0.000000  0.787500  0.637500
   -8.158   -8.030   -8.020   -7.995   -7.978   -3.574    0.147    2.808    4.366    9.192
   12.012   13.600   14.065
            0.000000  0.775000  0.675000
   -8.159   -8.029   -8.020   -7.996   -7.977   -3.565    0.125    2.809    4.440    8.939
   11.810   14.066   14.340
            0.000000  0.762500  0.712500
   -8.160   -8.027   -8.020   -7.997   -7.977   -3.554    0.104    2.826    4.476    8.765
   11.590   14.499   14.580
            0.000000  0.750000  0.750000
   -8.161   -8.026   -8.019   -7.997   -7.976   -3.541    0.083    2.858    4.462    8.680
   11.367   14.711   14.816
            0.000000  0.712500  0.712500
   -8.158   -8.029   -8.021   -7.995   -7.978   -3.594    0.149    2.770    4.590    8.801
   12.011   14.406   14.459
            0.000000  0.675000  0.675000
   -8.155   -8.031   -8.024   -7.992   -7.979   -3.673    0.235    2.746    4.731    8.931
   12.523   14.008   14.354
            0.000000  0.637500  0.637500
   -8.152   -8.033   -8.026   -7.990   -7.981   -3.781    0.349    2.783    4.884    9.064
   12.744   13.627   13.998
            0.000000  0.600000  0.600000
   -8.149   -8.035   -8.029   -7.987   -7.982   -3.915    0.496    2.877    5.046    9.194
   12.707   13.264   13.576
            0.000000  0.562500  0.562500
   -8.145   -8.036   -8.032   -7.985   -7.984   -4.072    0.681    3.021    5.214    9.313
   12.577   12.921   13.176
            0.000000  0.525000  0.525000
   -8.141   -8.038   -8.035   -7.985   -7.984   -4.246    0.903    3.208    5.386    9.410
   12.437   12.600   12.808
            0.000000  0.487500  0.487500
   -8.136   -8.039   -8.037   -7.986   -7.983   -4.431    1.165    3.432    5.558    9.474
   12.289   12.301   12.510
            0.000000  0.450000  0.450000
   -8.131   -8.040   -8.040   -7.986   -7.982   -4.621    1.463    3.687    5.727    9.497
   12.024   12.044   12.382
            0.000000  0.412500  0.412500
   -8.125   -8.043   -8.042   -7.987   -7.981   -4.811    1.796    3.968    5.890    9.477
   11.761   11.771   12.364
            0.000000  0.375000  0.375000
   -8.119   -8.046   -8.044   -7.987   -7.981   -4.996    2.161    4.271    6.042    9.417
   11.493   11.540   12.383
            0.000000  0.337500  0.337500
   -8.112   -8.049   -8.046   -7.987   -7.981   -5.172    2.557    4.589    6.181    9.326
   11.251   11.331   12.394
            0.000000  0.300000  0.300000
   -8.104   -8.051   -8.048   -7.987   -7.982   -5.336    2.980    4.917    6.305    9.210
   11.039   11.146   12.349
            0.000000  0.262500  0.262500
   -8.097   -8.054   -8.050   -7.986   -7.982   -5.486    3.429    5.247    6.413    9.074
   10.858   10.982   12.205
            0.000000  0.225000  0.225000
   -8.089   -8.056   -8.052   -7.986   -7.983   -5.620    3.900    5.571    6.503    8.918
   10.711   10.841   11.948
            0.000000  0.187500  0.187500
   -8.082   -8.058   -8.055   -7.985   -7.983   -5.736    4.391    5.879    6.576    8.736
   10.599   10.721   11.611
            0.000000  0.150000  0.150000
   -8.075   -8.059   -8.057   -7.985   -7.983   -5.832    4.898    6.158    6.633    8.516
   10.520   10.623   11.248
            0.000000  0.112500  0.112500
   -8.070   -8.060   -8.059   -7.985   -7.984   -5.909    5.413    6.394    6.675    8.243
   10.475   10.547   10.917
            0.000000  0.075000  0.075000
   -8.066   -8.061   -8.061   -7.984   -7.984   -5.964    5.928    6.574    6.704    7.907
   10.454   10.493   10.660
            0.000000  0.037500  0.037500
   -8.063   -8.062   -8.062   -7.984   -7.984   -5.997    6.419    6.687    6.720    7.524
   10.450   10.460   10.502
            0.000000  0.000000  0.000000
   -8.062   -8.062   -8.062   -7.984   -7.984   -6.008    6.726    6.726    6.726    7.252
   10.450   10.450   10.450
